2005/07/01 00:01:08 YVR SA 0000  40 FEW 220 -BKN 20 154/23.7/14.0/1510G16/CU1CI1 7007 RMK CONTRAILS UNOFF
2005/07/01 01:02:20 YVR SA 0100  40 FEW 100 FEW 220 -SCT 20 151/22.7/13.1/1410/CU1AC1CI1 RMK CONTRAILS / TR AC UNOFF
2006/01/15 07:01:16 YVR SA 0700  30 FEW 45 FEW 20 122/4.5/0.9/2204/SC1SC1  UNOFF
2006/01/15 08:00:54 YVR SA 0800  20 FEW 20 130/2.9/0.6/2804/SC3  UNOFF
2006/01/15 08:45:11 YVR SP 0844  20 FEW 20 /2.0//2503/SC3  UNOFF
2006/01/15 09:01:19 YVR SA 0900  20 FEW 140 FEW 20 137/2.1/-0.5/2405/SC2AC1 2023  UNOFF
2006/01/15 10:01:11 YVR SA 1000  20 FEW 130 SCT 20 148/1.0/-0.8/1105/SC1AC3  UNOFF
2006/01/15 11:01:15 YVR SA 1100  20 FEW 110 -BKN M130 BKN 20 157/-0.7/-2.0/0906/SC1AC4AC1  UNOFF
2006/01/15 12:02:08 YVR SA 1200  20 FEW M100 BKN 130 BKN 15 162/0.3/-1.2/1106/SC2AC4AC1 1025  UNOFF
2006/01/15 13:01:06 YVR SA 1300  30 FEW M80 BKN 100 BKN 15 165/0.1/-1.0/0905/SC2AC5AC2  UNOFF
2006/01/15 14:01:10 YVR SA 1400  25 FEW M55 BKN 80 BKN 15 173/0.8/-0.3/0906/SC2SC5AC2  UNOFF
2006/01/15 15:05:03 YVR SA 1500  50 FEW M78 BKN 120 BKN 15 181/0.6/-0.6/0906/SC3AC3AC2 5019  UNOFF
2006/01/15 16:02:29 YVR SA 1600  50 FEW M75 BKN 120 BKN 15 191/1.5/-0.5/0806/SC2AC5AC1  UNOFF
2006/01/15 17:02:31 YVR SA 1700  20 FEW M82 BKN 120 BKN 15 198/2.6/1.5/0908/SC1AC7AC1  UNOFF
2006/01/15 18:03:10 YVR SA 1800  20 FEW M79 BKN 15 209/3.6/2.2/0906/SC1AC8 2028  UNOFF
2006/01/15 19:03:22 YVR SA 1900  20 FEW 60 FEW 77 SCT 15 215/4.9/3.1/0908/SC1SC1AC3  UNOFF
2006/01/15 20:01:51 YVR SA 2000  20 FEW 60 FEW 78 SCT 15 221/6.4/3.0/1205/SC1SC1AC4 RMK TCU EMBD UNOFF
2006/01/15 21:02:06 YVR SA 2100  17 FEW 60 SCT M79 BKN 15 224/6.9/3.3/2204/SC2SC2AC4 1015 RMK TCU EMBD UNOFF
2006/01/15 22:05:09 YVR SA 2200  25 FEW 60 FEW 80 SCT 220 -BKN 15 222/7.1/0.7/1605/SC1SC1AC2CI0 RMK TCU EMBD UNOFF
2006/01/15 23:03:04 YVR SA 2300  30 FEW 60 FEW 220 -BKN 15 226/7.2/-1.1/1203/TCU1SC1CI1  UNOFF

2006/01/16 00:04:29 YVR SA 0000  30 FEW 60 FEW 210 -OVC 15 235/6.3/0.6/1405/SC1SC1CS3 5011  UNOFF
2006/01/16 01:03:05 YVR SA 0100  30 FEW 60 SCT M210 OVC 15 236/4.5/1.0/0808/SC1SC3CS2  UNOFF
2006/01/16 02:02:22 YVR SA 0200  30 FEW M67 BKN 210 BKN 15 238/4.8/2.0/0906/SC1AC7CS1  UNOFF
2006/01/16 03:00:57 YVR SA 0300  30 FEW M60 BKN 15 239/4.9/2.4/0907/SF1SC8 2004  UNOFF
2006/01/16 04:01:50 YVR SA 0400  25 FEW M48 BKN 60 BKN 15 236/4.8/2.9/0908/SF1SC5SC3  UNOFF
2006/01/16 05:01:22 YVR SA 0500  30 FEW M48 BKN 60 BKN 15 238/5.2/3.0/1007/SF1SC7SC1  UNOFF
2006/01/16 06:03:37 YVR SA 0600  30 FEW 48 SCT M140 BKN 15 237/4.7/3.0/0906/SF1SC3AC5 5002  UNOFF
2006/01/16 07:02:12 YVR SA 0700  60 FEW M120 BKN 15 234/4.6/2.7/0910/SC3AC5  UNOFF
2006/01/16 08:02:39 YVR SA 0800  M28 BKN 60 BKN 15 232/5.0/2.0/0910/SC6SC2  UNOFF
2006/01/16 08:28:23 YVR SP 0827  M30 BKN 60 BKN 12SHRA- /4.8//0911/SC6SC2  UNOFF
2006/01/16 09:02:31 YVR SA 0900  M27 BKN 45 BKN 10SHRA- 228/4.6/2.2/0910/SC7SC2 7009  UNOFF
2006/01/16 10:02:08 YVR SA 1000  M26 BKN 45 BKN 90 OVC 10RA- 221/4.5/2.3/0810/SC7SC2AC1  UNOFF
2006/01/16 11:02:38 YVR SA 1100  M24 BKN 40 BKN 100 OVC 10RA- 216/4.2/2.2/0915/SC7SC2AC1  UNOFF
2006/01/16 12:01:21 YVR SA 1200  M18 BKN 27 BKN 110 OVC 10RA- 209/3.8/2.3/0914G19/SC6SC3AC1 2019  UNOFF
2006/01/16 13:01:58 YVR SA 1300  17 SCT M23 BKN 150 OVC 10RA- 197/3.3/2.1/0917/SC4SC4AC2  UNOFF
2006/01/16 14:02:59 YVR SA 1400  16 FEW M27 BKN 50 OVC 8RA- 191/3.3/2.1/0911/SC3SC5SC2  UNOFF
2006/01/16 15:04:27 YVR SA 1500  M22 BKN 46 OVC 10RA- 181/3.6/2.3/0912G17/SC7SC3 7028  UNOFF
2006/01/16 16:03:37 YVR SA 1600  19 FEW M32 BKN 51 OVC 10RA- 175/4.3/2.5/0810G17/SC2SC6SC2  UNOFF
2006/01/16 17:03:55 YVR SA 1700  18 FEW M34 OVC 10RA- 170/4.8/2.6/0813/SC2SC8  UNOFF
2006/01/16 18:01:57 YVR SA 1800  M20 BKN 34 OVC 8RA- 166/4.5/2.8/0913/SC8SC2 6015  UNOFF
2006/01/16 19:05:39 YVR SA 1900  M18 BKN 29 OVC 8RA- 165/4.3/3.2/1012/SC8SC2  UNOFF
2006/01/16 20:02:17 YVR SA 2000  M15 BKN 26 OVC 8RA- 158/4.3/3.3/1013/SC9SC1  UNOFF
2006/01/16 20:11:55 YVR SP 2010  M12 BKN 23 OVC 8RA- /4.3//1014/SC8SC2  UNOFF
2006/01/16 20:36:30 YVR SP 2035  12 SCT M24 OVC 8RA- /4.2//0914/SC4SC6  UNOFF
2006/01/16 21:02:39 YVR SA 2100  12 SCT M21 OVC 8RA- 149/4.1/3.0/0913G18/SC4SC6 0017  UNOFF
2006/01/16 22:02:13 YVR SA 2200  12 SCT M26 OVC 8RA- 142/4.2/3.3/0911G17/SC4SC6  UNOFF
2006/01/16 23:03:52 YVR SA 2300  12 SCT M22 OVC 8RA- 134/4.3/3.1/0914/SC4SC6  UNOFF

2006/01/17 00:01:40 YVR SA 0000  14 FEW M20 BKN 35 OVC 10RA- 124/4.6/3.0/0815/SC3SC6SC1 0025  UNOFF
2006/01/17 01:02:03 YVR SA 0100  14 FEW M20 OVC 8RA- 109/4.8/3.3/0815/SC3SC7  UNOFF
2006/01/17 02:00:53 YVR SA 0200  14 FEW M19 OVC 8RA- 098/5.0/3.6/0815/SC2SC8  UNOFF
2006/01/17 03:03:32 YVR SA 0300  12 FEW M18 BKN 24 OVC 6RA- 072/5.0/4.0/0919/SC2SC7SC1 0052 RMK PRESFR UNOFF
2006/01/17 04:01:11 YVR SA 0400  14 SCT M20 OVC 6RA- 059/5.1/4.2/1020/SC5SC5  UNOFF
2006/01/17 04:45:33 YVR SP 0444  M11 BKN 20 BKN 40 OVC 6RA- /5.5//1117/SC6SC3SC1  UNOFF
2006/01/17 05:01:33 YVR SA 0500  M10 BKN 15 BKN 25 OVC 8RA- 055/5.6/4.8/0919/SC6SC3SC1  UNOFF
2006/01/17 05:18:26 YVR SP 0516  6 SCT M10 BKN 20 OVC 5RA-FG /5.9//1215G20/SF4SC3SC3  UNOFF
2006/01/17 06:03:46 YVR SA 0600  9 SCT M19 BKN 60 BKN 90 OVC 8RA- 057/8.5/7.6/1513G22/SF4SC2SC2AC2 5015  UNOFF
2006/01/17 06:12:51 YVR SP 0611  10 FEW 20 SCT M70 BKN 120 OVC 10 /8.7//1617/SF3SC2AC2AC3  UNOFF
2006/01/17 07:01:30 YVR SA 0700  10 FEW 25 FEW 50 SCT M120 BKN 15 068/8.8/7.2/1708G15/SF1SC1SC2AC2  UNOFF
2006/01/17 08:01:53 YVR SA 0800  15 FEW 50 FEW 150 SCT 15 070/8.8/5.0/2309G15/SC1SC2AC2  UNOFF
2006/01/17 09:03:01 YVR SA 0900  15 FEW 45 FEW 90 SCT 210 -BKN 15 083/9.8/4.5/2807/SC1SC1AC2CI1 5026  UNOFF
2006/01/17 10:03:04 YVR SA 1000  20 FEW 50 FEW 120 -SCT 15 091/8.6/4.0/1906/SC1SC1AC1  UNOFF
2006/01/17 11:02:29 YVR SA 1100  20 FEW 50 FEW 90 SCT 15 100/8.7/3.7/2011/SC1SC2AC1  UNOFF
2006/01/17 12:01:38 YVR SA 1200  20 FEW 40 SCT M60 BKN 15 105/8.4/3.6/1711/SC1SC3SC2 1022  UNOFF
2006/01/17 13:02:27 YVR SA 1300  25 FEW 40 SCT M62 BKN 15 104/8.5/3.7/1309/SC1SC3SC3  UNOFF
2006/01/17 14:02:26 YVR SA 1400  25 FEW M63 BKN 140 BKN 15 109/8.0/3.2/1204/SC1SC5AC2  UNOFF
2006/01/17 14:56:12 YVR SP 1454  25 FEW 44 SCT M58 OVC 12RA- /8.4//1514G19/SC2SC2SC6  UNOFF
2006/01/17 15:02:56 YVR SA 1500  25 FEW 44 SCT M59 OVC 12RA- 107/8.3/4.6/1513/SC2SC2SC6 5002  UNOFF
2006/01/17 16:04:14 YVR SA 1600  25 FEW M39 BKN 60 OVC 12RA- 114/8.0/4.9/1410G18/SC2SC7SC1  UNOFF
2006/01/17 16:18:46 YVR SP 1617  25 FEW M43 BKN 71 OVC 12 /8.1//1510/SC2SC6AC2  UNOFF
2006/01/17 16:36:04 YVR SP 1634  25 FEW M41 BKN 98 OVC 12SHRA- /8.4//1615/SC2SC6AC1  UNOFF
2006/01/17 17:04:40 YVR SA 1700  25 FEW M32 BKN 85 OVC 12SHRA- 115/8.3/4.8/1717G22/SC2SC6AC2  UNOFF
2006/01/17 18:00:57 YVR SA 1800  20 SCT M38 OVC 6SHRA-FG 121/7.2/5.2/1808/SC4SC6 5014  UNOFF
2006/01/17 19:02:46 YVR SA 1900  19 FEW M38 BKN 78 OVC 12SHRA- 118/6.9/5.6/1403/SC3SC5AC2  UNOFF
2006/01/17 19:26:16 YVR SP 1925  20 FEW 40 SCT M58 OVC 12 /7.9//1505/SC2SC2SC6  UNOFF
2006/01/17 20:04:36 YVR SA 2000  20 FEW 44 FEW M56 OVC 15SHRA- 108/8.2/5.9/1407/SC1SC2SC7  UNOFF
2006/01/17 21:04:04 YVR SA 2100  25 FEW M44 BKN 80 OVC 12SHRA- 100/8.1/6.4/1310/SC1SC8AC1 0021  UNOFF
2006/01/17 21:36:02 YVR SP 2133  25 FEW M47 BKN 80 OVC 12 /8.3//1110/SC1SC7AC2  UNOFF
2006/01/17 22:04:21 YVR SA 2200  20 FEW M50 BKN 80 OVC 10 089/8.3/6.4/1110/SC1SC7AC2  UNOFF
2006/01/17 22:54:08 YVR SP 2253  20 FEW M38 BKN 74 OVC 8SHRA- /8.2//0909/SC2SC7AC1  UNOFF
2006/01/17 23:03:15 YVR SA 2300  25 FEW M36 BKN 53 OVC 8SHRA- 086/8.1/6.1/0911/SC3SC5SC2  UNOFF

2006/01/18 00:04:04 YVR SA 0000  20 FEW M35 BKN 55 OVC 8SHRA- 083/7.6/6.2/0805/SC2SC6SC2 6017  UNOFF
2006/01/18 01:05:33 YVR SA 0100  25 FEW 40 SCT M58 BKN 79 OVC 10SHRA- 077/7.8/5.8/1005/SC1SC3SC4AC2 RMK PCPN VRY LGT UNOFF
2006/01/18 01:57:45 YVR SP 0155  30 FEW M65 BKN 140 OVC 10 /6.9//0904/SC2SC4AC4  UNOFF
2006/01/18 02:03:43 YVR SA 0200  30 FEW M59 BKN 140 OVC 12 074/6.8/5.0/1103/SC2SC4AC4  UNOFF
2006/01/18 03:02:22 YVR SA 0300  26 FEW M41 BKN 60 BKN 140 OVC 8SHRA- 076/6.9/5.8/0804/SC2SC5SC1AC2 5007  UNOFF
2006/01/18 04:01:35 YVR SA 0400  25 FEW M42 BKN 60 BKN 120 OVC 10SHRA- 076/6.8/5.9/0908/SC2SC4SC3AC1  UNOFF
2006/01/18 05:02:35 YVR SA 0500  34 SCT 45 SCT M80 BKN 120 OVC 10SHRA- 077/6.4/5.5/1006/SC4SC1AC3AC2  UNOFF
2006/01/18 06:01:13 YVR SA 0600  15 FEW M35 BKN 52 BKN 80 OVC 8SHRA- 078/6.3/5.5/0807/SF2SC5SC2AC1 2002  UNOFF
2006/01/18 07:02:37 YVR SA 0700  10 FEW M38 BKN 52 OVC 8SHRA- 079/6.9/5.0/1406/SF2SC6SC2  UNOFF
2006/01/18 08:01:57 YVR SA 0800  11 FEW 32 SCT M51 BKN 90 OVC 8SHRA- 080/6.2/5.4/0906/SF1SC3SC5AC1  UNOFF
2006/01/18 08:46:47 YVR SP 0843  12 FEW 40 SCT M70 BKN 120 OVC 10 /5.9//0706/SF1SC4AC3AC2  UNOFF
2006/01/18 09:01:09 YVR SA 0900  8 FEW M40 BKN 70 BKN 120 OVC 10 081/6.1/5.2/0706/SF3SC4AC2AC1 2003  UNOFF
2006/01/18 09:09:09 YVR SP 0907  M8 BKN 30 BKN 70 OVC 10 /6.2//0707/SF6SC2AC2  UNOFF
2006/01/18 09:31:47 YVR SP 0930  M9 BKN 18 BKN 40 BKN 70 OVC 10SHRA- /6.2//0808/SF6SC2SC1AC1  UNOFF
2006/01/18 09:51:31 YVR SP 0949  8 SCT 19 SCT M40 BKN 70 OVC 10SHRA- /6.2//0905/SF4SC1SC2AC3  UNOFF
2006/01/18 10:01:14 YVR SA 1000  9 SCT M40 BKN 70 OVC 10SHRA- 084/6.2/5.4/0805/SF4SC4AC2  UNOFF
2006/01/18 11:02:08 YVR SA 1100  11 SCT M38 BKN 60 OVC 10SHRA- 089/6.2/5.3/0905/SF5SC4SC1  UNOFF
2006/01/18 12:01:10 YVR SA 1200  11 SCT M33 BKN 50 OVC 8SHRA- 088/5.9/5.1/0907/SF5SC2SC3 0007  UNOFF
2006/01/18 12:18:01 YVR SP 1216  M9 BKN 35 BKN 50 OVC 8SHRA- /5.8//0804/SF6SC3SC1  UNOFF
2006/01/18 13:01:13 YVR SA 1300  10 SCT M32 BKN 50 BKN 110 OVC 8SHRA- 086/5.6/4.8/0908/SF4SC2SC2AC2  UNOFF
2006/01/18 13:43:13 YVR SP 1341  11 FEW M34 BKN 50 BKN 100 OVC 8 /5.4//0906/SF3SC4SC1AC1  UNOFF
2006/01/18 14:00:48 YVR SA 1400  11 FEW M36 BKN 50 BKN 200 OVC 10 087/4.9/4.2/0806/SF2SC4SC1CI2  UNOFF
2006/01/18 15:03:17 YVR SA 1500  11 FEW M31 OVC 10 092/5.4/4.5/0705/SF2SC8 5004  UNOFF
2006/01/18 16:02:46 YVR SA 1600  11 FEW M30 BKN 60 OVC 10 100/5.9/4.9/0606/SC3SC6SC1  UNOFF
2006/01/18 17:04:36 YVR SA 1700  11 FEW M34 BKN 55 OVC 8 109/6.2/4.9/0704/SC3SC5SC2  UNOFF
2006/01/18 18:03:56 YVR SA 1800  14 SCT M28 BKN 50 OVC 10 116/6.9/5.1/0503/SC4SC5SC1 2024  UNOFF
2006/01/18 19:01:36 YVR SA 1900  11 SCT M29 BKN 41 OVC 8 123/7.1/4.0/1504/SC5SC2SC3  UNOFF
2006/01/18 20:04:43 YVR SA 2000  11 SCT M44 OVC 8 125/7.8/5.9/0000/SC5SC4  UNOFF
2006/01/18 20:34:42 YVR SP 2032  5 FEW M11 BKN 30 OVC 8 /6.9//2606/SF2SC5SC3  UNOFF
2006/01/18 20:54:24 YVR SP 2053  7 FEW 11 SCT M18 BKN 35 OVC 8 /7.0//2604/SF1SC3SC3SC2  UNOFF
2006/01/18 21:03:29 YVR SA 2100  7 FEW 11 SCT M16 BKN 41 OVC 8 129/7.2/5.7/2706/SF1SC3SC4SC2 1013  UNOFF
2006/01/18 22:02:12 YVR SA 2200  7 FEW M18 BKN 50 OVC 12 131/7.3/5.7/3007/SF2SC5SC2  UNOFF
2006/01/18 23:00:59 YVR SA 2300  6 FEW 20 SCT M50 BKN 12 139/6.6/5.4/2905/SF3SC2SC2  UNOFF

2006/01/19 00:02:15 YVR SA 0000  8 SCT M15 BKN 50 OVC 12 146/6.7/5.5/2808/SC5SC4SC1 5017  UNOFF
2006/01/19 00:52:35 YVR SP 0051  7 FEW M11 BKN 49 OVC 12 /6.3//2907/SC2SC7SC1  UNOFF
2006/01/19 01:04:35 YVR SA 0100  7 FEW M11 BKN 49 OVC 12 150/6.3/4.7/2808/SC1SC8SC1  UNOFF
2006/01/19 02:02:01 YVR SA 0200  M10 BKN 47 OVC 12 154/6.6/5.4/2907/SC8SC2  UNOFF
2006/01/19 03:02:23 YVR SA 0300  M11 BKN 42 OVC 12 161/6.9/5.8/2908/SC7SC3 2015  UNOFF
2006/01/19 03:33:53 YVR SP 0332  10 SCT M47 OVC 15 /6.8//3008/SC5SC5 RMK LO CLD N - E UNOFF
2006/01/19 04:03:56 YVR SA 0400  10 SCT M46 OVC 15 165/6.8/5.5/3008/SC4SC6  UNOFF
2006/01/19 05:01:27 YVR SA 0500  9 SCT M47 OVC 15 170/6.7/5.4/2908/SF4SC6 RMK LO CLD E OVR APCH UNOFF
2006/01/19 06:01:30 YVR SA 0600  9 FEW 25 SCT M47 OVC 15 176/6.5/5.4/3004/SF3SC1SC6 2015  UNOFF
2006/01/19 06:06:39 YVR SA 0600  9 FEW 25 SCT M47 OVC 15 176/6.5/5.4/3004/SF3SC1SC6 2015 RMK LO CLD E UNOFF
2006/01/19 07:01:31 YVR SA 0700  10 FEW 25 SCT M46 BKN 55 OVC 15 181/6.7/5.0/2805/SF2SC2SC4SC2  UNOFF
2006/01/19 08:01:56 YVR SA 0800  11 FEW 30 SCT M50 OVC 15 180/6.2/4.7/3104/SF2SC2SC6  UNOFF
2006/01/19 09:01:48 YVR SA 0900  11 FEW 35 SCT M52 BKN 15 184/6.3/4.5/2506/SF3SC2SC4 2008  UNOFF
2006/01/19 10:00:48 YVR SA 1000  10 FEW 35 FEW M53 BKN 15 187/6.2/4.5/2804/SF2SC1SC6  UNOFF
2006/01/19 11:02:33 YVR SA 1100  11 FEW M54 BKN 210 OVC 15 190/5.8/4.1/2203/SF1SC6CI2  UNOFF
2006/01/19 12:02:06 YVR SA 1200  10 FEW M54 BKN 210 OVC 15 194/5.2/4.1/2805/SF1SC7CI1 2010  UNOFF
2006/01/19 13:02:20 YVR SA 1300  11 FEW M58 BKN 210 OVC 15 191/4.8/3.6/0403/SF1SC7CI1  UNOFF
2006/01/19 14:05:29 YVR SA 1400  12 FEW 60 SCT M160 BKN 210 OVC 15 189/3.8/2.7/1003/SF1SC3AC3CI1  UNOFF
2006/01/19 15:03:14 YVR SA 1500  12 FEW 40 SCT M60 OVC 15 190/4.7/3.6/0502/SF1SC4SC5 5004  UNOFF
2006/01/19 16:01:02 YVR SA 1600  12 FEW 32 SCT M65 OVC 15 191/4.5/3.7/0903/SF1SC3SC6  UNOFF
2006/01/19 17:01:44 YVR SA 1700  12 FEW 30 SCT M61 BKN 160 OVC 15 193/5.1/4.2/0705/SF1SC3SC5AC1  UNOFF
2006/01/19 18:02:54 YVR SA 1800  12 FEW 20 SCT M26 BKN 60 OVC 15 194/5.9/4.5/1007/SF2SC3SC3SC2 2004  UNOFF
2006/01/19 18:47:57 YVR SP 1846  8 FEW 14 SCT M30 BKN 50 OVC 15 /6.2//1006/SF2SC2SC4SC2  UNOFF
2006/01/19 18:55:33 YVR SP 1853  8 FEW 14 SCT M30 BKN 50 OVC 15SHRA- /6.2//1209/SF2SC3SC3SC2 RMK PCPN VRY LGT UNOFF
2006/01/19 19:02:46 YVR SA 1900  9 FEW 14 SCT M21 BKN 41 OVC 15SHRA- 194/6.1/4.6/1008/SF2SC3SC3SC2 RMK PCPN VRY LGT UNOFF
2006/01/19 19:22:15 YVR SP 1921  10 SCT M20 BKN 45 OVC 15 /6.3//1207/SF4SC4SC2  UNOFF
2006/01/19 19:34:08 YVR SP 1932  8 SCT M21 BKN 43 OVC 10 /6.4//1007/SF5SC4SC1  UNOFF
2006/01/19 19:47:07 YVR SP 1945  M8 BKN 21 BKN 35 OVC 10 /6.5//1007/SF6SC3SC1  UNOFF
2006/01/19 19:57:16 YVR SP 1956  M10 BKN 19 BKN 55 OVC 10 /6.5//1107/SF6SC2SC2  UNOFF
2006/01/19 20:02:54 YVR SA 2000  M10 BKN 19 BKN 55 OVC 10 189/6.6/4.8/1107/SF6SC2SC2  UNOFF
2006/01/19 20:26:33 YVR SP 2025  M9 BKN 20 BKN 55 OVC 12 /6.7//1106/SF7SC2SC1  UNOFF
2006/01/19 20:55:08 YVR SP 2053  M10 BKN 55 BKN 120 OVC 12 /6.7//1108/SC6SC3AC1  UNOFF
2006/01/19 21:01:41 YVR SA 2100  M10 BKN 55 BKN 120 OVC 12 181/6.7/4.7/0907/SC6SC3AC1 0013  UNOFF
2006/01/19 21:45:44 YVR SP 2144  14 SCT 20 SCT M55 OVC 15 /6.6//0909/SC4SC1SC5  UNOFF
2006/01/19 22:02:18 YVR SA 2200  12 SCT M51 OVC 15 176/6.7/4.5/0909/SC5SC5  UNOFF
2006/01/19 23:02:32 YVR SA 2300  12 FEW 40 SCT M51 OVC 15 175/6.6/4.4/0907/SF3SC2SC5  UNOFF
2006/01/19 23:45:38 YVR SP 2344  12 FEW M51 BKN 72 OVC 12SHRA- /6.2//0908/SF3SC4AC3  UNOFF

2006/01/20 00:02:00 YVR SA 0000  12 FEW M50 BKN 65 OVC 12SHRA- 173/6.2/4.3/0908/SF3SC4SC3 7008  UNOFF
2006/01/20 01:01:32 YVR SA 0100  12 FEW M22 BKN 45 OVC 15RA- 165/6.6/4.4/1308/SF3SC5SC2 RMK VIS LWR N 7SM UNOFF
2006/01/20 01:57:42 YVR SP 0155  12 FEW M30 BKN 60 OVC 8SHRA- /6.4//1310/SF3SC3SC4  UNOFF
2006/01/20 02:01:07 YVR SA 0200  12 FEW M30 BKN 44 BKN 65 OVC 8SHRA- 158/6.5/4.7/1309/SF3SC3SC2SC2 RMK PCPN VRY LGT UNOFF
2006/01/20 03:02:35 YVR SA 0300  15 FEW 20 SCT M60 OVC 15 148/6.2/4.8/1111/SF1SC3SC6 0025 RMK VIS N QUAD 10 SM UNOFF
2006/01/20 03:19:20 YVR SP 0318  13 FEW M15 BKN 60 OVC 15 /6.1//1010/SF2SC7SC1 RMK VIS N QUAD 10 SM UNOFF
2006/01/20 03:21:52 YVR SP 0320  13 FEW M16 BKN 26 OVC 15SHRA- /6.1//1011/SF3SC6SC1 RMK VIS N QUAD 10 SM UNOFF
2006/01/20 03:40:35 YVR SP 0339  M12 BKN 16 OVC 15SHRA- /6.2//1012/SC6SC4 RMK VIS N QUAD 10 SM UNOFF
2006/01/20 03:49:02 YVR SP 0348  12 SCT M18 BKN 25 OVC 15SHRA- /6.5//1012/SC4SC5SC1 RMK VIS N QUAD 10 SM UNOFF
2006/01/20 04:02:23 YVR SA 0400  4 SCT M17 BKN 25 OVC 15SHRA- 136/6.6/4.7/1315/SF4SC5SC1  UNOFF
2006/01/20 05:01:50 YVR SA 0500  12 FEW M20 BKN 32 OVC 15SHRA- 126/6.6/4.2/1317/SF2SC6SC2 RMK VIS N 10 SM UNOFF
2006/01/20 06:01:57 YVR SA 0600  M18 BKN 25 OVC 12SHRA- 110/6.5/4.6/1419G25/SC8SC2 0038 RMK VIS N QUAD 4 SM UNOFF
2006/01/20 07:01:02 YVR SA 0700  M19 BKN 25 OVC 12RA- 101/6.4/4.6/1319/SC8SC2 RMK VIS N QUAD 5 SM UNOFF
2006/01/20 08:00:53 YVR SA 0800  15 FEW M20 OVC 12RA- 095/6.2/4.7/1311G19/SC3SC7 RMK VIS N QUAD 4 SM UNOFF
2006/01/20 10:01:12 YVR SA 1000  9 FEW M12 OVC 15RA- 087/3.2/2.2/0909G16/SF2SC8 RMK VIS N QUAD 8 SM UNOFF
2006/01/20 11:10:20 YVR SA 1100  9 FEW M19 BKN 23 OVC 15 087/3.8/2.9/0608/SF1SC7SC2  UNOFF
2006/01/20 12:01:15 YVR SA 1200  20 FEW 75 -SCT 15 087/3.0/2.1/0808/SC2AC2 5002  UNOFF
2006/01/20 13:00:53 YVR SA 1300  20 FEW 75 SCT M110 BKN 15 092/3.1/2.3/0605/SC2AC2AC4  UNOFF
2006/01/20 14:00:53 YVR SA 1400  20 FEW M66 BKN 120 BKN 15 097/3.2/2.2/0204/SC2AC4AC1  UNOFF
2006/01/20 15:02:12 YVR SA 1500  20 FEW 40 -SCT 210 -BKN 15 103/2.2/1.4/0103/SC1SC1CI2 5016  UNOFF
2006/01/20 16:01:38 YVR SA 1600  20 FEW 40 FEW 120 FEW 20 108/1.9/0.9/0000/SC1SC1AC1  UNOFF
2006/01/20 17:01:58 YVR SA 1700  20 FEW 50 FEW 30 115/4.3/3.3/2003/SC1SC2  UNOFF
2006/01/20 17:41:07 YVR SP 1739  M14 BKN 40 BKN 30 /4.4//0000/SC6SC1  UNOFF
2006/01/20 18:03:18 YVR SA 1800  M10 BKN 20 BKN 30 124/5.9/4.4/0904/SC6SC1 2021  UNOFF
2006/01/20 18:10:11 YVR SP 1808  10 SCT M22 BKN 30 /6.3//2713/SC5SC3  UNOFF
2006/01/20 19:01:32 YVR SA 1900  10 SCT 20 SCT M45 BKN 30 132/6.8/4.9/2910/SC4SC1SC1  UNOFF
2006/01/20 19:52:50 YVR SP 1951  M14 BKN 50 BKN 30 /6.6//1812/SC6SC2  UNOFF
2006/01/20 20:02:14 YVR SA 2000  M15 BKN 50 BKN 30 137/6.4/4.2/2913/SC6SC2  UNOFF
2006/01/20 20:33:21 YVR SP 2031  M13 BKN 45 BKN 30 /6.6//2912/SC6SC2  UNOFF
2006/01/20 20:48:21 YVR SP 2046  13 FEW M57 BKN 30 /6.7//2816/SC3SC3  UNOFF
2006/01/20 21:02:17 YVR SA 2100  13 FEW 56 SCT 30 141/7.2/4.9/3015/SC2SC3 1017  UNOFF
2006/01/20 22:02:18 YVR SA 2200  17 FEW 60 FEW 200 FEW 30 149/7.0/4.1/3114/SC1SC1CI1  UNOFF
2006/01/20 23:02:10 YVR SA 2300  17 FEW 60 FEW 30 155/6.6/3.3/3014/SC1SC1  UNOFF

2006/01/21 00:01:32 YVR SA 0000  20 FEW 60 FEW 30 164/5.8/2.6/2911/SC1SC1 2023 RMK TCU ASOCT UNOFF
2006/01/21 01:01:27 YVR SA 0100  20 FEW 60 FEW 30 170/4.4/1.8/3009/SC1SC1  UNOFF
2006/01/21 02:01:19 YVR SA 0200  18 FEW M58 BKN 20 178/5.1/2.7/3008/SF2SC6  UNOFF
2006/01/21 03:01:40 YVR SA 0300  18 FEW M59 BKN 20 183/5.2/2.7/3007/SF2SC7 2019  UNOFF
2006/01/21 04:01:15 YVR SA 0400  30 FEW 56 -SCT 20 189/4.7/1.8/0203/SF1SC3 RMK TR SF UNOFF
2006/01/21 05:00:37 YVR SA 0500  31 SCT M40 OVC 20 197/4.0/2.2/1305/SC4SC4  UNOFF
2006/01/21 06:01:11 YVR SA 0600  25 SCT 35 SCT M58 OVC 20 205/4.1/2.7/1006/SC4SC1SC5 2022  UNOFF
2006/01/21 07:00:53 YVR SA 0700  25 FEW 35 SCT M59 OVC 15 209/3.9/2.5/0906/SC2SC2SC4  UNOFF
2006/01/21 08:00:59 YVR SA 0800  24 SCT M53 OVC 15 215/3.9/2.6/0903/SC4SC5  UNOFF
