2005/04/05 00:04:42 YVR SA 0000  44 SCT E80 BKN 15 193/11.5/-0.1/1805/SC5AC1 2005 RMK TCU EMBD UNOFF
2005/04/05 01:04:38 YVR SA 0100  45 FEW 80 FEW 15 198/10.8/0.8/1410/TCU2AC1 RMK SH DIST N UNOFF
2005/04/05 02:01:12 YVR SA 0200  45 FEW 80 -SCT 200 -BKN 15 200/9.8/2.9/1610/SC1AC1CI1 RMK SH DIST NE UNOFF
2005/04/05 03:01:24 YVR SA 0300  37 FEW 80 -SCT 220 -BKN 15 206/8.6/3.0/1410/SC1AC1CI0 5013 RMK SH DIST N UNOFF
2005/06/14 02:01:25 YVR SA 0200  40 FEW 60 FEW 220 -SCT 30 191/17.4/6.2/2012/TCU2SC1CI1  UNOFF
2005/06/14 03:01:53 YVR SA 0300  40 FEW 60 FEW 220 -SCT 30 190/16.8/6.2/2107/TCU2SC1CI1 6006  UNOFF
2005/06/14 04:01:12 YVR SA 0400  50 FEW 220 FEW 30 188/15.3/7.4/2110/SC2CI1  UNOFF
2005/06/14 05:00:51 YVR SA 0500  50 FEW 220 -SCT 30 189/14.6/7.4/2108/SC1CI2  UNOFF
2005/06/14 06:01:26 YVR SA 0600  50 FEW 220 -SCT 30 188/14.0/7.7/2206/SC1CI2 6002  UNOFF
2005/06/14 07:02:24 YVR SA 0700  50 FEW 220 -SCT 20 185/12.0/6.8/0202/SC1CI2  UNOFF
2005/06/14 08:00:57 YVR SA 0800  50 FEW 220 -BKN 20 181/12.0/7.0/0904/SC1CI2  UNOFF
2005/06/14 09:03:00 YVR SA 0900  50 FEW 220 -BKN 20 177/11.0/7.4/0703/SC2CI2 7011  UNOFF
2005/06/14 10:01:48 YVR SA 1000  70 FEW 220 -BKN 20 173/11.2/8.4/0604/AC3CI1  UNOFF
2005/06/14 11:01:58 YVR SA 1100  M71 BKN 210 BKN 20 167/10.9/7.9/0405/AC7CI1  UNOFF
2005/06/14 12:03:18 YVR SA 1200  M68 BKN 210 BKN 20 159/10.2/7.2/0705/AC7CI1 0018  UNOFF
2005/06/14 13:01:59 YVR SA 1300  63 SCT M200 BKN 20 154/10.7/6.9/0404/SC5CI1  UNOFF
2005/06/14 14:00:56 YVR SA 1400  64 -SCT 75 -BKN 220 -BKN 30 153/11.5/7.2/0704/SC3AC1CI1  UNOFF
2005/06/14 15:00:57 YVR SA 1500  40 FEW M76 BKN 30 152/12.8/7.8/0702/SC1AC7 6007  UNOFF
2005/06/14 16:02:32 YVR SA 1600  35 FEW M78 OVC 20 149/13.4/8.0/1902/SC2AC8  UNOFF
2005/06/14 16:58:59 YVR SP 1657  19 SCT M28 BKN 75 OVC 20SHRA- ///2503/SC4SC2AC3  UNOFF
2005/06/14 17:01:46 YVR SA 1700  19 FEW 28 SCT M75 BKN 90 BKN 20SHRA- 147/14.0/8.7/2604/SC2SC2AC3AC2 RMK PCPN VRY LGT UNOFF
2005/06/14 17:37:57 YVR SP 1736  30 FEW M67 BKN 95 BKN 20 ///2904/CU1AC5AC1  UNOFF
2005/06/14 18:01:08 YVR SA 1800  30 FEW 45 SCT M76 BKN 20 142/14.2/9.2/2505/CU1SC3AC3 7010  UNOFF
2005/06/14 18:01:08 YVR SA 1800  30 FEW 45 SCT M76 BKN 20 142/14.2/9.2/2505/CU1SC3AC3 7010 RMK TCU ASOCT UNOFF
Warning: at line 2057: duplicated data: prev hr = 10 PST  current hr = 10 PST
2005/06/14 19:01:35 YVR SA 1900  35 FEW 40 FEW 90 -BKN 20 140/15.5/9.9/2707/CU1TCU2AC1  UNOFF
2005/06/14 20:03:44 YVR SA 2000  40 FEW 90 FEW 20 139/15.9/9.8/2807/TCU2AC1  UNOFF
2005/06/14 21:02:17 YVR SA 2100  35 FEW 40 FEW 90 FEW 20 139/16.0/10.3/2710/CU1TCU1AC1 7003  UNOFF
2005/06/14 21:02:17 YVR SA 2100  35 FEW 40 FEW 90 FEW 20 139/16.0/10.3/2710/CU1TCU1AC1 7003 RMK TR CU UNOFF
Warning: at line 2061: duplicated data: prev hr = 13 PST  current hr = 13 PST
2005/06/14 22:01:45 YVR SA 2200  35 FEW 40 FEW 90 FEW 220 SCT 20 135/15.7/9.2/3007/TCU1CB1AC1CI1 RMK CB DIST NE QUAD UNOFF
2005/06/14 23:02:12 YVR SA 2300  40 FEW 45 FEW 85 -SCT 220 -BKN 20 136/16.3/8.0/2705/CU1TCU1AC1CI1 RMK SHS DIST NE QUAD UNOFF

2005/06/15 00:01:37 YVR SA 0000  40 FEW 90 FEW 220 -SCT 20 136/16.6/8.4/2507/CU1AC1CI1 5003 RMK TCU ASOCT UNOFF
2005/06/15 01:04:06 YVR SA 0100  40 FEW 70 -SCT 220 -BKN 20 138/15.7/8.4/2614/CU2AC1CI1 RMK TCU ASOCT UNOFF
2005/06/15 01:07:41 YVR SA 0100  40 FEW 70 -SCT 220 -BKN 20 138/15.7/8.4/2614/CU2AC1CI1 RMK TCU ASOCT SHS DIST NE QUAD / SW QUAD UNOFF
Warning: at line 2067: duplicated data: prev hr = 17 PST  current hr = 17 PST
2005/06/15 01:51:24 YVR SP 0147  40 FEW M64 BKN 70 BKN 20TS ///2611/CB1SC6AC1 RMK LTGCG NE SHRA DIST NE UNOFF
2005/06/15 02:05:20 YVR SA 0200  35 FEW 45 FEW M64 BKN 84 BKN 20TS 138/14.2/9.2/2708/TCU1CB1SC6AC1 RMK SHRA DIST NE UNOFF
2005/06/15 03:05:49 YVR SA 0300  40 SCT M63 BKN 20RETS 139/14.3/7.8/2902/SC4SC5 5003 RMK SHRA DIST NE UNOFF
2005/06/15 04:00:37 YVR SA 0400  40 SCT M64 BKN 20 141/13.5/8.4/2803/SC4SC5  UNOFF
2005/06/15 05:03:36 YVR SA 0500  40 FEW M61 BKN 82 BKN 20 145/13.5/8.2/0000/SC2SC5AC1  UNOFF
2005/06/15 06:04:49 YVR SA 0600  40 FEW M69 BKN 20 146/13.6/8.1/0000/SC3AC5 1007  UNOFF
2005/06/15 07:03:39 YVR SA 0700  35 SCT M64 BKN 20 148/12.4/8.1/1104/SC4SC4  UNOFF
2005/06/15 08:01:12 YVR SA 0800  35 SCT M68 BKN 20 147/13.5/7.7/2505/SC4AC4  UNOFF
2005/06/15 09:01:52 YVR SA 0900  M63 BKN 20 150/13.0/8.4/2710/SC9 5004  UNOFF
2005/06/15 10:01:06 YVR SA 1000  23 FEW M56 BKN 20 154/12.7/7.9/2405/SC3SC6  UNOFF
2005/06/15 11:01:59 YVR SA 1100  25 FEW M61 BKN 20 157/11.7/8.4/0607/SC3SC6  UNOFF
2005/06/15 11:23:43 YVR SP 1122  25 FEW M56 BKN 20RA- ///0608/SC3SC6  UNOFF
2005/06/15 11:38:58 YVR SP 1136  30 FEW M61 BKN 20 ///0707/SC3SC6  UNOFF
2005/06/15 12:01:01 YVR SA 1200  35 FEW M60 BKN 72 BKN 20 159/10.8/8.1/0809/SC2SC5AC1 1009  UNOFF
2005/06/15 13:04:36 YVR SA 1300  42 FEW M67 BKN 20 164/10.3/7.5/1009/SC3AC5  UNOFF
2005/06/15 14:02:48 YVR SA 1400  35 FEW 45 FEW M57 BKN 70 BKN 20 167/11.3/7.8/0909/TCU1SC2SC3AC1  UNOFF
2005/06/15 15:01:00 YVR SA 1500  35 FEW M57 BKN 70 BKN 20 169/11.7/7.9/0910/CB1SC5AC1 2010 RMK CB W QUAD UNOFF
2005/06/15 16:05:29 YVR SA 1600  25 FEW 40 FEW M70 BKN 20 171/12.8/8.4/1008/CU2CB1AC4  UNOFF
2005/06/15 16:05:29 YVR SA 1600  25 FEW 40 FEW M70 BKN 20 171/12.8/8.4/1008/CU2CB1AC4 RMK CB W QUAD UNOFF
Warning: at line 2086: duplicated data: prev hr = 8 PST  current hr = 8 PST
2005/06/15 17:01:39 YVR SA 1700  30 FEW 40 FEW M67 BKN 20 170/13.6/8.6/1009/CU1TCU1AC4  UNOFF
2005/06/15 18:01:21 YVR SA 1800  28 SCT 70 -BKN 20 169/14.8/7.9/1306/TCU4AC1 0000  UNOFF
2005/06/15 19:01:26 YVR SA 1900  37 -BKN 70 -BKN 20 169/16.3/7.9/2305/CU4AC1 RMK TCU ASOCT UNOFF
2005/06/15 19:59:55 YVR SA 1900  35 FEW 20 249/11.3/8.0/2912/CU1 RMK HZ UNOFF
Warning: at line 2090: rec & nom time differ > 30 min:  rec = 2005-06-15 11:59:55  nom = 2005-06-15 11:00:00
Warning: at line 2090: duplicated data: prev hr = 11 PST  current hr = 11 PST
2005/06/15 19:59:55 YVR SA 2000  40 SCT 30 161/15.5/8.3/2407/CU4 RMK TCU ASOCT UNOFF
2005/06/15 21:02:53 YVR SA 2100  40 SCT 220 SCT 30 156/16.6/9.4/2509/CU4CI1 0013 RMK TR CI UNOFF
2005/06/15 21:02:53 YVR SA 2100  40 SCT 220 SCT 30 156/16.6/9.4/2509/CU4CI1 0013  UNOFF
Warning: at line 2093: duplicated data: prev hr = 13 PST  current hr = 13 PST
2005/06/15 22:01:08 YVR SA 2200  40 FEW 220 -FEW 30 151/16.6/8.6/2608/CU2CI0 RMK CONTRAILS UNOFF
2005/06/15 23:01:48 YVR SA 2300  40 FEW 220 -FEW 30 146/17.0/8.4/2506/CU1CI1  UNOFF

2005/06/16 00:02:08 YVR SA 0000  40 FEW 220 -BKN 30 135/16.9/7.2/2906/CU1CI1 0021 RMK CONTRAILS UNOFF
2005/06/16 01:02:32 YVR SA 0100  40 FEW 200 -BKN 30 124/16.7/8.1/3007/CU1CI2  UNOFF
2005/06/16 02:02:49 YVR SA 0200  170 -FEW 220 -BKN 30 112/16.7/8.3/3108/AC1CI2  UNOFF
2005/06/16 03:05:55 YVR SA 0300  150 -SCT 220 -OVC 30 105/15.7/8.8/3107/AC2CS3 6030  UNOFF
2005/06/16 04:04:09 YVR SA 0400  140 SCT M220 OVC 30 100/14.9/9.1/3108/AC4CS2  UNOFF
2005/06/16 05:03:10 YVR SA 0500  120 FEW 150 -BKN M220 OVC 30 097/14.5/8.9/3108/AC2AS3CI1  UNOFF
2005/06/16 06:02:29 YVR SA 0600  120 FEW 150 -BKN 30 091/14.9/8.5/3603/AC2AS2 0014  UNOFF
2005/06/16 07:03:02 YVR SA 0700  120 FEW 160 -BKN 20 085/14.3/8.5/3603/AC2AS2  UNOFF
2005/06/16 08:01:17 YVR SA 0800  120 FEW 170 -BKN 20 080/13.8/8.4/3604/AC1AS3  UNOFF
2005/06/16 09:01:53 YVR SA 0900  120 FEW M170 BKN 20 075/14.1/8.9/0305/AC2AS4 7016  UNOFF
2005/06/16 10:05:16 YVR SA 1000  50 FEW 90 SCT M140 OVC 15 071/14.6/9.2/0000/SC1AC3AS4  UNOFF
2005/06/16 11:03:18 YVR SA 1100  50 FEW M91 BKN 140 OVC 15 065/14.4/9.4/0304/SC1AC5AS4  UNOFF
2005/06/16 13:06:10 YVR SA 1300  50 FEW M84 BKN 140 OVC 15 065/14.7/9.1/0306/SC2AC6AS2  UNOFF
Warning: at line 2109: missing data: prev hr = 3 PST  current hr = 5 PST
2005/06/16 13:42:33 YVR SP 1341  50 FEW M74 BKN 140 OVC 15RA- /14.9//0503/SC1AS5AS4  UNOFF
2005/06/16 14:01:52 YVR SA 1400  50 FEW M76 OVC 15RA- 054/15.2/8.4/0210/SF1AS9 RMK PCPN VRY LGT UNOFF
2005/06/16 14:21:37 YVR SP 1418  50 FEW 75 SCT M88 OVC 15 /15.7//0311/SF1AS3AS6  UNOFF
2005/06/16 15:03:35 YVR SA 1500  50 FEW 75 SCT M87 OVC 30 050/16.9/7.8/0709/CF1AS3AS6 0014  UNOFF
2005/06/16 16:00:56 YVR SA 1600  50 FEW 70 SCT M130 OVC 30 050/16.8/9.2/2509/CF1AS3AS2  UNOFF
2005/06/16 17:02:09 YVR SA 1700  50 FEW M90 BKN 120 OVC 30 044/16.4/11.7/3014/CF1AS5AS3  UNOFF
2005/06/16 18:01:01 YVR SA 1800  90 FEW M150 OVC 30 039/16.6/12.7/3013/AS2AS8 0011  UNOFF
2005/06/16 19:00:55 YVR SA 1900  40 FEW M150 OVC 30 035/17.3/12.4/2714/CF1AS10 RMK TR CF UNOFF
Warning: at line 2117: cloud fraction > 10, set to 10
2005/06/16 20:00:59 YVR SA 2000  90 FEW M150 BKN 220 OVC 30 033/17.4/13.3/2919/AC1AS6CI2  UNOFF
2005/06/16 21:02:27 YVR SA 2100  90 FEW M130 BKN 220 OVC 30 032/18.0/13.2/2917/AC1AS6CI1 7007 RMK TR AC UNOFF
2005/06/16 22:02:53 YVR SA 2200  40 FEW 90 FEW M130 BKN 220 OVC 30 025/18.2/13.0/3117/CF1AC2AS3CI1  UNOFF
2005/06/16 23:11:07 YVR SA 2300  45 FEW M110 BKN 220 OVC 30 025/17.2/12.2/3016/CF1AC6CI2  UNOFF

2005/06/17 00:01:01 YVR SA 0000  110 SCT M130 BKN 150 OVC 30 020/17.4/11.3/3014G19/AC4AC3AC2 6012  UNOFF
2005/06/17 01:01:00 YVR SA 0100  M110 BKN 130 OVC 30 014/17.5/11.8/3115/AC7AC3  UNOFF
2005/06/17 02:02:40 YVR SA 0200  M100 BKN 130 OVC 30 016/17.2/12.3/2914/AC8AC2  UNOFF
2005/06/17 03:04:27 YVR SA 0300  M100 BKN 130 OVC 30 018/17.2/13.0/3011/AC8AC2 5002  UNOFF
2005/06/17 04:01:36 YVR SA 0400  M100 BKN 130 OVC 30 016/16.6/13.4/3011/AC6AC4  UNOFF
2005/06/17 05:12:46 YVR SA 0500  M100 BKN 150 OVC 30 013/16.0/13.0/3012/AC7AC3  UNOFF
2005/06/17 06:01:14 YVR SA 0600  M90 BKN 150 OVC 30 010/16.2/12.9/3104/AC7AC3 7008  UNOFF
2005/06/17 07:01:06 YVR SA 0700  M85 BKN 150 OVC 20 009/16.7/12.0/1908/AC7AC3  UNOFF
2005/06/17 07:33:13 YVR SP 0732  M82 OVC 20RA- ///1808/AC10  UNOFF
2005/06/17 08:01:37 YVR SA 0800  M75 OVC 12RA- 013/15.5/12.3/1708/AC10  UNOFF
2005/06/17 09:01:56 YVR SA 0900  44 SCT M77 OVC 12RA- 015/14.2/12.2/1904/SC4AC6 5005  UNOFF
2005/06/17 10:02:24 YVR SA 1000  M29 BKN 71 OVC 10RA- 020/13.8/12.3/1204/SC6AC4  UNOFF
2005/06/17 10:14:20 YVR SA 1000  M29 BKN 71 OVC 10RA-RERA 020/13.8/12.3/1204/SC6AC4  UNOFF
Warning: at line 2135: duplicated data: prev hr = 2 PST  current hr = 2 PST
2005/06/17 10:33:15 YVR SP 1031  6 FEW M22 OVC 6RA-FGRERA ///1404/SF3SC7  UNOFF
2005/06/17 11:01:08 YVR SA 1100  6 FEW M19 BKN 44 OVC 8RA- 022/13.9/12.6/1903/SF3SC6SC1  UNOFF
2005/06/17 12:03:03 YVR SA 1200  7 FEW M19 OVC 4RA-FG 030/13.8/12.6/1607/SF3SC7 5015  UNOFF
2005/06/17 13:03:36 YVR SA 1300  7 FEW 18 SCT M61 OVC 6RA-FG 030/13.8/12.9/1104/SF3SC2SC5  UNOFF
2005/06/17 14:02:45 YVR SA 1400  7 FEW 17 SCT M32 BKN 60 OVC 5SHRA-FG 033/13.1/12.1/1209/SF3SC2SC4SC1  UNOFF
2005/06/17 15:02:46 YVR SA 1500  6 FEW 17 SCT M29 BKN 60 OVC 10SHRA- 032/13.1/12.0/1009/SF3SC2SC3SC2 0002 RMK VIS LWR N - NE UNOFF
2005/06/17 15:34:34 YVR SP 1532  6 FEW 18 SCT M30 BKN 60 OVC 10 ///1006/SF2SC2SC4SC2  UNOFF
2005/06/17 16:02:30 YVR SA 1600  6 FEW 17 SCT M28 BKN 50 OVC 10SHRA- 035/13.2/11.8/1107/SF2SC2SC4SC2  UNOFF
2005/06/17 16:11:24 YVR SP 1609  6 FEW 15 SCT M26 BKN 50 OVC 10SHRA- ///0908/SF3SC2SC4SC1 RMK VIS W - NW 2 UNOFF
2005/06/17 16:48:05 YVR SP 1645  6 FEW 16 SCT M24 BKN 50 OVC 10 ///0907/SF3SC2SC4SC1 RMK CIG + VIS LWR W UNOFF
2005/06/17 16:49:13 YVR SP 1645  6 FEW 16 SCT M24 BKN 50 OVC 10 /13.5//0907/SF3SC2SC4SC1 RMK CIG + VIS LWR W UNOFF
2005/06/17 17:01:39 YVR SA 1700  6 FEW 17 SCT M24 BKN 30 BKN 60 OVC 10 038/13.5/11.5/1009/SF3SC2SC2SC2SC1  UNOFF
2005/06/17 17:18:30 YVR SP 1716  6 FEW M10 BKN 25 BKN 50 OVC 10 /13.7//1012/SF3SC3SC2SC2  UNOFF
2005/06/17 17:45:52 YVR SP 1744  6 FEW 12 SCT M24 BKN 50 OVC 10 /13.7//0910/SF3SC2SC3SC2  UNOFF
2005/06/17 18:02:06 YVR SA 1800  6 FEW 13 SCT M24 BKN 50 OVC 10 037/13.6/11.8/0909/SF3SC2SC3SC2 0005  UNOFF
2005/06/17 19:01:56 YVR SA 1900  5 FEW 11 SCT M20 BKN 50 OVC 10 043/13.5/11.7/1311/SF3SC2SC3SC2  UNOFF
2005/06/17 19:08:50 YVR SP 1907  5 FEW M12 BKN 20 BKN 50 OVC 10 /13.4//1310/SF3SC3SC3SC1  UNOFF
2005/06/17 19:09:50 YVR SP 1907  5 FEW M12 BKN 20 BKN 50 OVC 10RA- /13.4//1310/SF3SC3SC3SC1  UNOFF
2005/06/17 19:27:05 YVR SP 1925  5 FEW M9 BKN 20 BKN 50 OVC 8RA- /13.0//1512G17/SF3SC4SC2SC1  UNOFF
2005/06/17 19:53:52 YVR SP 1951  6 FEW M12 BKN 20 BKN 50 OVC 8RA- /13.2//1508/SF3SC4SC2SC1  UNOFF
2005/06/17 20:00:59 YVR SA 2000  6 FEW M11 BKN 20 BKN 50 OVC 8RA- 047/13.1/11.5/1507/SF3SC4SC2SC1  UNOFF
2005/06/17 20:18:06 YVR SP 2016  7 FEW M15 BKN 25 BKN 50 OVC 10 /13.4//1409/SF3SC4SC2SC1  UNOFF
2005/06/17 21:02:20 YVR SA 2100  7 FEW M14 BKN 25 BKN 50 OVC 10 048/13.5/11.3/1405/SF3SC4SC2SC1 1011  UNOFF
2005/06/17 21:31:15 YVR SP 2129  8 FEW 15 SCT M30 BKN 60 OVC 10 /14.0//1106/SF3SC2SC3SC2  UNOFF
2005/06/17 22:01:47 YVR SA 2200  8 FEW 14 SCT M30 BKN 60 OVC 15 054/14.4/11.9/1108/SF2CU2SC4SC2  UNOFF
2005/06/17 23:00:57 YVR SA 2300  8 FEW 15 SCT M35 BKN 60 OVC 15 057/14.2/11.1/1306/SF2SC2SC3SC3  UNOFF

2005/06/18 00:01:08 YVR SA 0000  8 FEW 18 SCT M55 BKN 80 BKN 15 056/14.5/11.5/0906/SF1SC3SC2AC3 0008  UNOFF
2005/06/18 01:00:58 YVR SA 0100  8 FEW 20 FEW M70 BKN 120 BKN 15 058/15.0/11.5/0907/SF1SC2AC4AC2  UNOFF
2005/06/18 02:00:50 YVR SA 0200  8 FEW 80 FEW M120 BKN 15 059/14.9/11.1/0704/SF1AC2AC6  UNOFF
2005/06/18 03:01:07 YVR SA 0300  6 FEW 80 SCT M120 BKN 15 063/14.7/11.0/1204/SF1AC3AC5 2007  UNOFF
2005/06/18 04:02:37 YVR SA 0400  15 FEW 73 SCT M120 BKN 15 063/14.3/11.0/0903/SF1AC4AC4  UNOFF
2005/06/18 05:02:18 YVR SA 0500  M46 BKN 75 BKN 120 BKN 15 070/14.0/11.0/0904/SC6AC1AC2  UNOFF
2005/06/18 06:05:03 YVR SA 0600  34 SCT M50 BKN 75 BKN 15 070/13.8/11.4/1004/SC5SC2AC2 1007  UNOFF
2005/06/18 07:01:51 YVR SA 0700  M35 BKN 46 BKN 15 071/13.8/11.7/1004/SC6SC3  UNOFF
2005/06/18 08:01:18 YVR SA 0800  M38 BKN 120 BKN 15 073/13.4/11.6/1003/SC7AC2  UNOFF
2005/06/18 09:01:43 YVR SA 0900  M44 BKN 120 BKN 15 075/13.5/11.7/1103/SC6AC3 2005  UNOFF
2005/06/18 10:01:12 YVR SA 1000  45 FEW M120 BKN 180 BKN 15 075/13.1/11.6/0804/SC3AC4AC2  UNOFF
2005/06/18 11:01:04 YVR SA 1100  45 FEW M78 BKN 120 BKN 15 078/13.0/11.7/0904/SC1AC6AC2  UNOFF
2005/06/18 12:03:36 YVR SA 1200  30 FEW 79 SCT M110 OVC 15 080/12.8/11.5/1105/SF1AC4AC5 2005  UNOFF
2005/06/18 13:01:52 YVR SA 1300  30 FEW M78 BKN 110 OVC 15 080/12.8/11.7/0902/SF1AC7AC2  UNOFF
2005/06/18 13:38:52 YVR SP 1336  20 FEW 30 FEW M63 BKN 80 OVC 15SHRA- /13.3//0804/SF1SF1SC5AC3  UNOFF
2005/06/18 14:03:44 YVR SA 1400  20 FEW 60 SCT M75 OVC 15SHRA- 086/13.5/12.0/0905/SF2SC2AC6  UNOFF
2005/06/18 15:03:02 YVR SA 1500  20 FEW 50 SCT M80 OVC 10SHRA- 089/14.0/12.3/0906/SF2SC2AC6 5009  UNOFF
2005/06/18 15:32:02 YVR SP 1530  7 FEW 20 FEW M50 BKN 80 OVC 10SHRA- /14.2//1106/SF1SF1SC4AC4  UNOFF
2005/06/18 16:02:00 YVR SA 1600  7 FEW 20 SCT M40 BKN 55 OVC 8SHRA- 094/14.3/12.9/1206/SF2SF2SC4SC2  UNOFF
2005/06/18 17:01:42 YVR SA 1700  9 FEW 30 SCT M50 BKN 90 OVC 10SHRA- 096/15.0/12.5/1105/SF2SC2SC3AC2  UNOFF
2005/06/18 18:03:01 YVR SA 1800  12 FEW 60 SCT M85 OVC 12RA- 099/16.6/12.9/1305/CU3SC2AS4 2010  UNOFF
2005/06/18 18:12:19 YVR SP 1810  16 FEW 60 SCT M85 OVC 12 /16.8//1105/CU3SC2AS4  UNOFF
2005/06/18 19:01:48 YVR SA 1900  18 SCT M80 BKN 120 OVC 12 104/16.9/12.2/1204/CU4AS4AS1  UNOFF
2005/06/18 19:38:21 YVR SP 1936  20 SCT M40 BKN 80 OVC 12SHRA- /16.6//2407/CU5SC3AS2 RMK TCU ASOCTD UNOFF
2005/06/18 20:02:16 YVR SA 2000  20 SCT M40 BKN 80 BKN 140 OVC 12SHRA- 109/16.4/12.6/1204/CU4SC3AS1AS2 RMK TCU ASOCTD UNOFF
2005/06/18 21:02:56 YVR SA 2100  21 SCT M40 BKN 70 BKN 140 OVC 12 112/16.4/13.1/2405/CU4SC3AC1AS2 2013  UNOFF
2005/06/18 22:02:15 YVR SA 2200  32 SCT M50 BKN 80 BKN 160 OVC 15 116/17.0/11.8/2403/CU4SC3AS2AS1  UNOFF
2005/06/18 23:02:30 YVR SA 2300  30 FEW 50 SCT M80 OVC 15 119/17.1/11.9/2504/CU3SC2AS5  UNOFF

2005/06/19 00:01:48 YVR SA 0000  30 FEW 50 SCT M85 OVC 15 121/16.9/10.4/2404/CU3SC1AC6 2009  UNOFF
2005/06/19 01:01:08 YVR SA 0100  30 FEW 50 SCT M80 BKN 160 BKN 15 123/16.8/11.5/2704/SC2SC2AC3AC2  UNOFF
2005/06/19 02:02:15 YVR SA 0200  30 FEW 80 SCT M160 OVC 15 123/16.4/11.8/2505/SF1AC4AC5  UNOFF
2005/06/19 03:03:16 YVR SA 0300  30 FEW 80 FEW M130 OVC 15 127/15.8/12.0/2805/SF1AC2AC7 2006  UNOFF
2005/06/19 04:03:10 YVR SA 0400  30 FEW 80 FEW M120 BKN 15 130/15.3/12.1/2902/SF1AC2AS6  UNOFF
2005/06/19 05:01:22 YVR SA 0500  35 FEW 85 FEW M130 BKN 15 135/14.9/11.8/3002/SF1AC2AS6  UNOFF
2005/06/19 06:03:04 YVR SA 0600  40 FEW M84 BKN 15 141/14.7/11.1/3603/CF1AC7 2014  UNOFF
2005/06/19 07:02:13 YVR SA 0700  M100 BKN 15 143/15.0/11.7/0102/AC9  UNOFF
2005/06/19 08:01:56 YVR SA 0800  M91 BKN 15 136/14.8/12.3/0404/AC9  UNOFF
2005/06/19 09:03:22 YVR SA 0900  69 SCT M90 BKN 15 145/14.3/11.6/0503/AC5AC4 2004  UNOFF
2005/06/19 10:01:09 YVR SA 1000  M62 BKN 90 BKN 15 148/14.6/11.5/0905/SC6AC3  UNOFF
2005/06/19 11:02:18 YVR SA 1100  63 SCT M74 BKN 15 153/14.7/11.5/1103/SC5AC4  UNOFF
2005/06/19 12:02:38 YVR SA 1200  62 SCT M130 OVC 15 155/14.2/11.7/1003/SC4AC6 2010  UNOFF
2005/06/19 13:01:03 YVR SA 1300  M62 BKN 130 OVC 15 158/14.2/11.6/0402/SC7AC3  UNOFF
2005/06/19 14:04:11 YVR SA 1400  40 FEW M60 BKN 100 BKN 15 162/14.8/11.7/0903/SF1SC6AC2  UNOFF
2005/06/19 15:01:50 YVR SA 1500  40 FEW M61 BKN 100 BKN 130 BKN 15 168/15.3/11.6/1102/SF1SC6AC1AC1 5013  UNOFF
2005/06/19 16:03:40 YVR SA 1600  40 FEW M62 BKN 130 OVC 15 174/16.2/11.8/1302/SF1SC7AC2 RMK FU NE UNOFF
2005/06/19 17:04:09 YVR SA 1700  25 FEW M55 BKN 90 BKN 130 BKN 15 177/17.3/12.6/1702/SF1SC5AC2AC1 RMK FU NE UNOFF
2005/06/19 18:02:31 YVR SA 1800  40 FEW 55 SCT M70 BKN 130 BKN 15 179/17.6/12.3/2703/CF1CU3AC2AC2 1011  UNOFF
2005/06/19 19:02:19 YVR SA 1900  40 FEW 70 SCT M100 BKN 15 179/19.1/14.4/2504/CU3AC2AC3  UNOFF
2005/06/19 20:00:58 YVR SA 2000  40 FEW M71 BKN 110 BKN 15 181/17.9/13.7/2908/CU3AC4AC1 RMK TCU ASOCTD UNOFF
2005/06/19 21:01:41 YVR SA 2100  30 FEW 40 FEW M75 BKN 160 BKN 15 183/18.4/13.1/3009/CU1TCU2AC4AC1 5004  UNOFF
2005/06/19 22:02:28 YVR SA 2200  40 FEW 80 SCT 160 SCT 20 183/20.7/13.7/3110/TCU1AC3AC1  UNOFF
2005/06/19 23:01:04 YVR SA 2300  45 FEW 80 FEW 20 182/21.0/13.4/2809/CU1AC2  UNOFF

2005/06/20 00:01:03 YVR SA 0000  45 FEW 80 FEW 210 -FEW 20 182/19.4/12.6/2810/CU1AC1CI0 7001  UNOFF
2005/06/20 01:01:01 YVR SA 0100  45 FEW 80 FEW 230 -SCT 20 181/19.4/12.6/3011/CU1AC1CI1  UNOFF
2005/06/20 02:00:58 YVR SA 0200  45 FEW 230 -SCT 20 178/18.9/13.8/3009/CU1CI2  UNOFF
2005/06/20 03:04:18 YVR SA 0300  45 FEW 230 -SCT 20 179/18.2/13.6/3208/CF1CI2 5003  UNOFF
2005/06/20 04:01:06 YVR SA 0400  40 FEW 230 FEW 20 176/16.9/14.2/3110/CF1CI1  UNOFF
2005/06/20 05:01:00 YVR SA 0500  230 FEW 20 174/16.6/14.0/3110/CI1  UNOFF
2005/06/20 06:01:24 YVR SA 0600  230 FEW 20 179/16.4/14.2/3109/CI1 5000  UNOFF
2005/06/20 07:02:39 YVR SA 0700  230 FEW 20 180/15.2/13.6/3106/CI2  UNOFF
2005/06/20 08:01:05 YVR SA 0800  230 FEW 20 182/14.0/12.2/3105/CI1  UNOFF
2005/06/20 09:01:33 YVR SA 0900  230 FEW 20 181/14.6/12.0/3602/CI1 0002  UNOFF
2005/06/20 10:01:01 YVR SA 1000  230 -FEW 20 178/15.0/10.6/0000/CI1  UNOFF
2005/06/20 11:02:22 YVR SA 1100  180 FEW 230 FEW 20 177/14.3/10.5/0000/AC1CI1  UNOFF
